category,midpoint_threshold,eer_threshold,signal_size,noise_size
bottle,24.782069830246915,25.8125,3,162
chair,25.728636188271608,25.78125,3,162
cup,24.772087191358025,23.890625,3,162
fork,26.67722800925926,25.546875,3,162
laptop,26.29422260802469,27.765625,3,162
microwave,25.01222511574074,25.328125,3,162
sink,25.101948302469133,25.0,3,162
stop sign,27.25761959876543,29.1875,3,162
toilet,26.132474922839506,26.265625,3,162
tv,23.89800347222222,23.171875,3,162
bowl,23.94950810185185,23.875,3,162
car,24.23799189814815,25.609375,3,162
clock,25.760175540123456,27.703125,3,162
keyboard,26.075858410493826,25.234375,3,162
knife,24.175829475308642,24.109375,3,162
mouse,24.29644097222222,24.140625,3,162
oven,24.809510030864196,24.90625,3,162
potted plant,24.32638888888889,25.703125,3,162
