category,midpoint_threshold,eer_threshold,signal_size,noise_size
bottle,23.52919223206373,23.84375,116,856
chair,24.69018123050978,24.53125,177,1299
cup,24.512035634128882,24.4375,193,1558
fork,25.287111021312967,24.765625,161,1319
laptop,26.272479579825937,26.734375,86,815
microwave,26.039109335257514,27.046875,109,1248
sink,25.077740194366854,25.453125,195,1074
stop sign,27.966734908862108,28.234375,88,149
toilet,27.343632756132756,27.71875,110,315
tv,24.262535873724488,23.625,196,1568
bowl,23.833451638360824,23.703125,98,876
car,23.52666685469314,23.78125,72,277
clock,26.266055535318166,27.359375,83,277
keyboard,25.448157404119318,25.578125,128,825
knife,23.35983777609145,23.09375,98,790
mouse,25.66786214668616,25.609375,76,378
oven,25.520586555843266,26.203125,70,731
potted plant,24.123890634612305,23.5625,107,1109
